src,dst,rs
9020003202016003873,9020003202016002588,"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016003873,9026403262015000239,"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003262016004023,9020003202016002588,"['同报案人', '同报案电话', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003262016004023,9026403262015000239,"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003262016003533,9020003262015006372,"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202016002588,9026403262015000239,"['同报案人', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9020003202015004407,9020003202015001090,"['同三者车牌号', '同三者车架号', '同三者驾驶员姓名', '同三者驾驶员驾驶证号']"
9026403262015000406,9026403262015000239,"['同标的车牌号', '同标的车架号']"
9026403262015000406,9020003262015002895,['同报案电话']
9026403262015000406,9020003202015001090,['同报案电话']
9020003262015007435,9020003262015002895,"['同标的车架号', '同标的驾驶员驾驶证号']"
9020003262015007435,9026403262014000383,"['同报案人', '同报案电话', '同标的驾驶员姓名']"
9020003262015007435,9020003202013005246 ,"['同标的车架号', '同标的驾驶员驾驶证号']"
9020003262015005134,9026403262015000239,['同报案电话']
9020003262015005134,9020003262015002505,"['同报案人', '同报案电话', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
9026403262015000239,9020003262015002505,['同报案电话']
9020003262015002895,9020003202015001090,['同报案电话']
9020003262015002895,9020003202013005246 ,"['同报案人', '同标的车牌号', '同标的车架号', '同标的驾驶员姓名', '同标的驾驶员驾驶证号']"
